flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,8721,2772,4914,0.859309,0.749848,0.868303,0.91367,0.893152,0.861826,0.795751,0.94626,0.777323,0.904734,0.906598,0.830482,0.880778,0.709713,0.842827,0.888469,0.838969,0.920882,0.841876,0.846363,0.899693,0.860814,0.851881,0.94611,0.847099,
2340,8721,13515,4914,0.859225,0.751654,0.868606,0.913045,0.89334,0.860256,0.795929,0.945205,0.777403,0.903638,0.905158,0.830558,0.880788,0.711796,0.842858,0.887991,0.839441,0.919922,0.842512,0.846049,0.898752,0.860916,0.852701,0.945372,0.847507,
2340,8721,2260,4914,0.859201,0.74955,0.868133,0.913401,0.892968,0.861417,0.795964,0.94609,0.77762,0.904806,0.906774,0.830403,0.880711,0.709672,0.842503,0.888379,0.83896,0.920779,0.841648,0.846027,0.899718,0.860804,0.851586,0.946015,0.846898,
2340,8721,2756,4914,0.8592,0.749537,0.868138,0.913418,0.892974,0.861398,0.795919,0.946078,0.777657,0.904743,0.906692,0.830444,0.880733,0.709537,0.842498,0.888575,0.838968,0.920833,0.841622,0.846193,0.89957,0.860841,0.851574,0.94603,0.846838,
2340,8721,5323,4914,0.859197,0.751713,0.86873,0.913033,0.89328,0.85989,0.796044,0.944994,0.777401,0.903718,0.905127,0.830641,0.880861,0.711752,0.842702,0.887913,0.839602,0.919837,0.842367,0.846053,0.898787,0.860926,0.852642,0.945355,0.84737,
2340,8721,9419,4914,0.859192,0.751685,0.868702,0.912966,0.893253,0.859844,0.796073,0.944988,0.777507,0.903722,0.905161,0.830626,0.880851,0.711737,0.842641,0.887921,0.839591,0.919839,0.842389,0.846018,0.898783,0.860929,0.852644,0.945354,0.84738,
2340,8721,13514,4914,0.859192,0.751701,0.86874,0.913058,0.893284,0.85989,0.796031,0.94499,0.777391,0.903674,0.905091,0.830612,0.88085,0.711683,0.84272,0.887973,0.839647,0.919878,0.842348,0.846061,0.898703,0.860915,0.852653,0.94536,0.847345,
2340,8721,13513,4914,0.85919,0.751657,0.868706,0.912984,0.893268,0.859859,0.79608,0.944984,0.77752,0.903668,0.905124,0.830618,0.880859,0.711694,0.842683,0.88799,0.839617,0.919889,0.842357,0.846023,0.898702,0.860934,0.852641,0.945338,0.847364,
2340,8721,7371,4914,0.859187,0.751717,0.868623,0.912859,0.893281,0.859964,0.796027,0.945029,0.777612,0.903547,0.905141,0.830592,0.880818,0.711797,0.842745,0.887956,0.839469,0.919826,0.842454,0.84599,0.898686,0.860901,0.852677,0.945293,0.847473,
2340,8721,13771,4914,0.859185,0.751701,0.868552,0.912951,0.893354,0.860548,0.795765,0.945218,0.777237,0.903424,0.905007,0.830423,0.880679,0.711828,0.842957,0.887924,0.839244,0.919907,0.842623,0.84594,0.898651,0.860812,0.852748,0.945312,0.847625,
2340,8721,15563,4914,0.859183,0.751609,0.868467,0.912855,0.893312,0.860291,0.795892,0.945186,0.777565,0.903443,0.905125,0.830464,0.880707,0.711802,0.842882,0.888015,0.839279,0.919883,0.842578,0.845947,0.898629,0.860881,0.852718,0.945298,0.847569,
2340,8721,13518,4914,0.859181,0.751708,0.868636,0.912864,0.893269,0.859995,0.796054,0.945033,0.777596,0.903523,0.905097,0.830569,0.88077,0.711802,0.842761,0.887945,0.839508,0.919836,0.842435,0.845933,0.898686,0.860902,0.85268,0.945275,0.847466,
2340,8721,13519,4914,0.85918,0.751621,0.868474,0.912843,0.8933,0.860332,0.795925,0.945196,0.777549,0.90344,0.905133,0.830453,0.880684,0.711874,0.842837,0.887924,0.839271,0.919853,0.842585,0.845885,0.898699,0.860875,0.852691,0.945272,0.847597,
2340,8721,13547,4914,0.85918,0.751677,0.868549,0.912968,0.893343,0.86056,0.795765,0.945212,0.777234,0.903384,0.904992,0.83044,0.880663,0.711787,0.842937,0.887917,0.83925,0.919918,0.842624,0.84596,0.89866,0.860836,0.852727,0.945301,0.847615,
2340,8721,2768,4914,0.859177,0.749709,0.868347,0.913853,0.893016,0.861394,0.795589,0.946079,0.77685,0.904768,0.90635,0.830445,0.880771,0.709418,0.842601,0.888389,0.839133,0.920821,0.841539,0.84645,0.899582,0.86067,0.851662,0.946075,0.846732,
2340,8721,5322,4914,0.859172,0.751751,0.868868,0.913048,0.89324,0.859551,0.796135,0.944821,0.777411,0.903763,0.905071,0.830702,0.880933,0.711641,0.842582,0.887899,0.839808,0.919805,0.842203,0.846081,0.898742,0.860908,0.852591,0.945356,0.847223,
2340,8721,5321,4914,0.859172,0.751723,0.868826,0.91299,0.893239,0.859511,0.796184,0.944813,0.77753,0.903752,0.9051,0.830713,0.880922,0.711664,0.842537,0.887927,0.839768,0.919816,0.842214,0.846058,0.898744,0.860944,0.852586,0.945335,0.847238,
2340,8721,13531,4914,0.85917,0.751739,0.868585,0.913099,0.893326,0.860405,0.795743,0.945185,0.777112,0.903479,0.904946,0.830452,0.880705,0.711784,0.842914,0.887819,0.839338,0.919814,0.842535,0.846024,0.898721,0.860776,0.852726,0.945322,0.847541,
2340,8721,11467,4914,0.85917,0.751664,0.868578,0.912793,0.89325,0.859904,0.796053,0.944999,0.777719,0.903547,0.905157,0.830567,0.880799,0.711777,0.842685,0.887968,0.839449,0.919815,0.842445,0.845914,0.898675,0.860912,0.852662,0.945283,0.847469,
2340,8721,9418,4914,0.85917,0.751728,0.868846,0.912991,0.893233,0.859505,0.79617,0.94481,0.777521,0.903751,0.905097,0.830704,0.880922,0.711646,0.842537,0.887904,0.839783,0.919813,0.842234,0.846041,0.898736,0.86094,0.852588,0.945343,0.847241,
2340,8721,9417,4914,0.85917,0.751686,0.868812,0.912934,0.893223,0.859474,0.79621,0.944804,0.777635,0.903746,0.905133,0.83071,0.880921,0.711647,0.84249,0.887942,0.839757,0.919821,0.842247,0.84601,0.898746,0.860958,0.852586,0.945328,0.847258,
2340,8721,13529,4914,0.85917,0.751782,0.868733,0.913061,0.893295,0.860059,0.79592,0.945022,0.777276,0.903532,0.904945,0.830572,0.880795,0.711739,0.842782,0.887849,0.839548,0.919814,0.8424,0.846033,0.898679,0.860821,0.852701,0.945294,0.847431,
2340,8721,5579,4914,0.859168,0.751769,0.868684,0.912954,0.893305,0.86019,0.795888,0.945021,0.777264,0.903505,0.904988,0.830522,0.880761,0.71181,0.842806,0.887851,0.839428,0.919829,0.842466,0.845971,0.898691,0.860838,0.852699,0.9453,0.84749,
2340,8721,724,4914,0.859168,0.749744,0.868345,0.913836,0.89299,0.861452,0.795668,0.94608,0.776777,0.904803,0.906395,0.830408,0.88071,0.709505,0.842547,0.888189,0.839116,0.920738,0.841547,0.84632,0.899731,0.860653,0.85164,0.946047,0.846792,
2340,8721,9931,4914,0.859168,0.751808,0.868711,0.913049,0.893291,0.860045,0.795892,0.945005,0.777281,0.903535,0.904956,0.830583,0.880802,0.711706,0.842749,0.887849,0.839522,0.919798,0.842417,0.846085,0.898694,0.860836,0.852688,0.94531,0.847417,
2340,8721,14027,4914,0.859168,0.751717,0.868581,0.913094,0.893321,0.860382,0.795728,0.945169,0.777115,0.903447,0.904927,0.830484,0.880718,0.711725,0.842923,0.88789,0.839348,0.919859,0.842512,0.846092,0.898641,0.860792,0.852728,0.945313,0.847521,
2340,8721,13517,4914,0.859166,0.751659,0.8686,0.912795,0.893244,0.859936,0.796092,0.945007,0.777693,0.903498,0.905111,0.830563,0.880765,0.711798,0.842691,0.887947,0.839472,0.91983,0.842433,0.845882,0.89868,0.860914,0.852654,0.945246,0.847482,
2340,8721,13769,4914,0.859165,0.751717,0.868665,0.912941,0.893313,0.860191,0.795914,0.945005,0.777352,0.903452,0.904973,0.830501,0.880759,0.711767,0.842804,0.887944,0.839438,0.919872,0.842476,0.845934,0.89861,0.86085,0.852705,0.94529,0.847499,
2340,8721,964,4914,0.859162,0.749563,0.868224,0.913607,0.893042,0.861634,0.795664,0.946133,0.776962,0.904705,0.906494,0.83031,0.880659,0.709423,0.842582,0.888381,0.838929,0.920891,0.841649,0.846166,0.899592,0.860704,0.851642,0.946084,0.84685,
2340,8721,5577,4914,0.859162,0.75179,0.868806,0.912936,0.893286,0.859852,0.79605,0.94485,0.777385,0.903553,0.904966,0.830611,0.88084,0.711742,0.84268,0.887886,0.839626,0.91983,0.842346,0.845979,0.898664,0.860877,0.852661,0.945291,0.847378,
2340,8721,9451,4914,0.859162,0.751743,0.868665,0.912913,0.893292,0.860194,0.795904,0.945008,0.777361,0.903461,0.905004,0.8305,0.88075,0.711765,0.842763,0.887843,0.839417,0.919841,0.842504,0.845932,0.898701,0.860872,0.852671,0.945283,0.847498,
2340,8721,5835,4914,0.859162,0.751826,0.868735,0.913103,0.893283,0.860051,0.795853,0.944996,0.777154,0.903539,0.904923,0.830595,0.880809,0.711708,0.842781,0.887837,0.839538,0.91979,0.842373,0.846122,0.898698,0.860801,0.852668,0.945306,0.847388,
2340,8721,2288,4914,0.859161,0.749534,0.868248,0.913583,0.893054,0.86163,0.79564,0.946148,0.777009,0.904721,0.906496,0.830288,0.880672,0.709362,0.842587,0.888368,0.838939,0.920906,0.841658,0.846184,0.899597,0.8607,0.851625,0.946085,0.846825,
2340,8721,13770,4914,0.859161,0.751749,0.868693,0.912985,0.893313,0.860202,0.795873,0.944996,0.777234,0.90346,0.904945,0.8305,0.880749,0.711744,0.842838,0.887916,0.839467,0.919865,0.842448,0.84597,0.898612,0.86082,0.85271,0.945301,0.847464,
2340,8721,2244,4914,0.85916,0.749342,0.868017,0.913202,0.892872,0.861057,0.796174,0.945996,0.778042,0.904874,0.906919,0.830454,0.880723,0.709537,0.842251,0.888513,0.83902,0.920816,0.84148,0.845944,0.899646,0.860878,0.851379,0.94599,0.846727,
2340,8721,13546,4914,0.859159,0.751736,0.868693,0.912968,0.893301,0.860193,0.795877,0.945012,0.777257,0.903431,0.904941,0.830499,0.880753,0.711705,0.842831,0.88791,0.839474,0.919874,0.842457,0.845994,0.898625,0.860852,0.852695,0.945284,0.847456,
2340,8721,13530,4914,0.859159,0.751815,0.868756,0.913121,0.893287,0.86006,0.795854,0.945014,0.777138,0.903537,0.904897,0.830546,0.880804,0.711706,0.842806,0.887816,0.839577,0.919801,0.842378,0.846056,0.898675,0.860784,0.852691,0.94531,0.847387,
2340,8721,7369,4914,0.859158,0.75172,0.868721,0.912821,0.89323,0.859585,0.796149,0.944831,0.777718,0.90359,0.905086,0.830652,0.880878,0.711712,0.842575,0.88798,0.839654,0.919805,0.842299,0.845985,0.898652,0.860937,0.852619,0.94528,0.847325,
2340,8721,7370,4914,0.859158,0.751752,0.868753,0.912885,0.893235,0.859623,0.796097,0.944829,0.777602,0.903597,0.905056,0.830642,0.880884,0.711695,0.84262,0.88795,0.839674,0.919795,0.842286,0.846016,0.898651,0.860908,0.852628,0.945293,0.847311,
2340,8721,5326,4914,0.859157,0.751755,0.868763,0.912868,0.893229,0.859641,0.796164,0.944829,0.777571,0.903613,0.905082,0.830657,0.88085,0.711754,0.842622,0.887881,0.839666,0.919761,0.842284,0.84595,0.898724,0.860911,0.85261,0.945274,0.84732,
2340,8721,9450,4914,0.859157,0.75179,0.868816,0.912934,0.893268,0.859862,0.796026,0.944848,0.777395,0.903518,0.904961,0.830609,0.880837,0.711686,0.842673,0.887867,0.839645,0.919828,0.84236,0.845985,0.898679,0.860889,0.852642,0.945289,0.847358,
2340,8721,5355,4914,0.859157,0.751753,0.868692,0.912964,0.89331,0.860202,0.795879,0.945006,0.77724,0.903475,0.904976,0.830505,0.880747,0.711751,0.84279,0.887846,0.839423,0.919812,0.842471,0.845964,0.898703,0.86084,0.852669,0.945276,0.847469,
2340,8721,9422,4914,0.859153,0.751721,0.868739,0.912811,0.893209,0.85959,0.796186,0.944826,0.777689,0.903608,0.905112,0.830636,0.880852,0.711749,0.842552,0.887892,0.839656,0.91976,0.842314,0.84591,0.89872,0.860931,0.852621,0.945268,0.84733,
2340,8721,5578,4914,0.859153,0.751822,0.868833,0.912993,0.893271,0.859873,0.795983,0.944846,0.777274,0.90355,0.904939,0.830605,0.880835,0.711717,0.842703,0.88785,0.839642,0.919806,0.842308,0.846002,0.898658,0.860844,0.852659,0.9453,0.847351,
2340,8721,9675,4914,0.859152,0.751741,0.868645,0.912884,0.893276,0.860139,0.795899,0.944988,0.777367,0.903489,0.905009,0.830506,0.880746,0.711785,0.842746,0.887855,0.839405,0.919814,0.842477,0.845906,0.898686,0.860846,0.852685,0.945275,0.847494,
2340,8721,9673,4914,0.859152,0.751759,0.868776,0.912869,0.893257,0.85979,0.796061,0.944833,0.777494,0.903538,0.905,0.830611,0.880834,0.71173,0.842621,0.887897,0.839607,0.919816,0.842365,0.845916,0.898669,0.860876,0.852653,0.945277,0.847391,
2340,8721,5354,4914,0.859151,0.751809,0.868838,0.91299,0.893265,0.859872,0.795991,0.944842,0.77727,0.903518,0.904927,0.830611,0.880838,0.711683,0.842698,0.887859,0.839644,0.919815,0.842333,0.846023,0.898683,0.860858,0.852631,0.945289,0.847332,
2340,8721,13545,4914,0.859149,0.751696,0.868664,0.912911,0.893286,0.860145,0.79592,0.944995,0.777373,0.903419,0.904955,0.830504,0.88074,0.711705,0.842767,0.887925,0.839435,0.919864,0.842461,0.845934,0.898617,0.860867,0.852665,0.945252,0.847468,
2340,8721,9449,4914,0.859148,0.751754,0.868783,0.91286,0.893251,0.859813,0.796071,0.944828,0.777515,0.903504,0.904977,0.830602,0.880831,0.711689,0.842612,0.887889,0.839605,0.919819,0.842371,0.845939,0.898676,0.860904,0.85262,0.945261,0.847375,
2340,8721,7403,4914,0.859145,0.751749,0.868585,0.912775,0.893293,0.860296,0.795853,0.945045,0.777459,0.903271,0.904973,0.830474,0.880697,0.711802,0.842841,0.887893,0.839285,0.91983,0.84255,0.845891,0.898609,0.860813,0.852695,0.945213,0.847578,
2340,8721,5325,4914,0.859143,0.751717,0.868737,0.912795,0.893211,0.85958,0.796199,0.944807,0.777673,0.903596,0.90509,0.830649,0.880835,0.711746,0.84255,0.88789,0.839619,0.919759,0.84228,0.845895,0.898724,0.860922,0.852587,0.945244,0.847335,
2340,8721,5327,4914,0.859143,0.751678,0.868599,0.912827,0.89324,0.859937,0.796025,0.944964,0.777518,0.903536,0.905104,0.830524,0.880745,0.711816,0.84268,0.887848,0.839425,0.919758,0.842418,0.845884,0.898747,0.860868,0.852611,0.945248,0.847433,
2340,8721,9674,4914,0.859143,0.751784,0.868803,0.912921,0.893256,0.859817,0.79601,0.944818,0.77738,0.903542,0.904966,0.83059,0.880825,0.711711,0.842652,0.887857,0.839628,0.919801,0.842327,0.845939,0.89866,0.860846,0.852651,0.945277,0.847364,
2340,8721,7374,4914,0.859143,0.751755,0.868647,0.91268,0.893228,0.859712,0.796142,0.944854,0.777808,0.903417,0.905069,0.830593,0.880799,0.711814,0.842658,0.887922,0.839553,0.919755,0.842373,0.845875,0.898614,0.860897,0.852642,0.945194,0.847427,
2340,8721,15562,4914,0.859142,0.75165,0.868604,0.912855,0.89326,0.859914,0.795969,0.944961,0.777534,0.903474,0.905039,0.830533,0.880788,0.711703,0.84272,0.887997,0.839482,0.919825,0.842384,0.845956,0.898573,0.860864,0.852647,0.945276,0.847398,
2340,8721,5337,4914,0.859142,0.751826,0.868854,0.913055,0.893247,0.859697,0.796019,0.944819,0.77726,0.903615,0.904908,0.830645,0.880871,0.711694,0.842625,0.887779,0.839713,0.919734,0.842247,0.846029,0.898729,0.860828,0.85262,0.945292,0.847301,
2340,8721,13774,4914,0.859142,0.751758,0.86857,0.912794,0.893297,0.860313,0.795886,0.94504,0.777431,0.903268,0.904946,0.830438,0.880665,0.711849,0.842873,0.887875,0.839317,0.919836,0.84253,0.845832,0.898578,0.860786,0.852717,0.945211,0.84759,
2340,8721,11466,4914,0.859142,0.75171,0.868728,0.912804,0.893201,0.859552,0.796118,0.944797,0.777695,0.903596,0.905081,0.830634,0.88087,0.711684,0.842561,0.887957,0.839661,0.919787,0.84229,0.845945,0.898637,0.860909,0.852607,0.945272,0.847304,
2340,8721,11465,4914,0.859141,0.751672,0.868689,0.912752,0.89319,0.85951,0.79617,0.944802,0.777817,0.903578,0.905112,0.830647,0.880855,0.711691,0.84251,0.887988,0.839625,0.919792,0.8423,0.845919,0.898644,0.860935,0.852601,0.945263,0.847332,
2340,8721,5353,4914,0.859141,0.751768,0.868807,0.912916,0.89326,0.85983,0.796032,0.94482,0.777386,0.903513,0.904944,0.830599,0.880826,0.711678,0.842656,0.887876,0.83961,0.919793,0.842329,0.845975,0.898678,0.860875,0.852605,0.945248,0.847351,
2340,8721,9421,4914,0.85914,0.751679,0.868701,0.912733,0.893182,0.859529,0.796215,0.944799,0.777785,0.903588,0.905137,0.830636,0.880837,0.711754,0.84249,0.887895,0.839622,0.919765,0.842312,0.84586,0.898716,0.860941,0.852592,0.945241,0.84735,
2340,8721,15561,4914,0.85914,0.751614,0.868564,0.912798,0.893245,0.859884,0.796007,0.944958,0.77764,0.903462,0.90507,0.830539,0.88079,0.711715,0.842669,0.888017,0.839446,0.919833,0.842405,0.84592,0.898578,0.860888,0.852644,0.945257,0.847408,
2340,8721,15567,4914,0.859139,0.751612,0.868338,0.912635,0.893266,0.86038,0.795875,0.945194,0.777729,0.903215,0.905093,0.830387,0.880598,0.711896,0.84289,0.887945,0.839106,0.919816,0.842631,0.845779,0.898582,0.860823,0.852706,0.945174,0.847673,
2340,8721,9433,4914,0.859138,0.751794,0.868826,0.912999,0.893227,0.859659,0.79605,0.944806,0.777372,0.903612,0.904941,0.830637,0.880868,0.711693,0.842579,0.887786,0.839689,0.919739,0.84227,0.84599,0.89872,0.86084,0.852624,0.94528,0.847314,
2340,8721,9423,4914,0.859138,0.751643,0.868568,0.912771,0.893217,0.859888,0.796051,0.944951,0.777633,0.903522,0.905137,0.830518,0.880743,0.711798,0.842624,0.887852,0.839421,0.919757,0.842432,0.845841,0.898725,0.860893,0.85263,0.945243,0.847447,
2340,8721,9930,4914,0.859138,0.75183,0.868841,0.913058,0.893254,0.859683,0.795977,0.944791,0.777279,0.903575,0.904886,0.830646,0.880876,0.711608,0.842629,0.887848,0.839726,0.919766,0.842249,0.846114,0.898645,0.860842,0.852627,0.945296,0.847256,
2340,8721,2256,4914,0.859137,0.749526,0.868221,0.913627,0.89288,0.861072,0.79589,0.945977,0.777301,0.90491,0.906601,0.830447,0.88076,0.709474,0.842346,0.888337,0.839168,0.920762,0.84138,0.846191,0.899645,0.860722,0.85145,0.946007,0.846604,
2340,8721,15579,4914,0.859137,0.751738,0.86846,0.912894,0.893291,0.860449,0.79571,0.94519,0.777293,0.903275,0.904933,0.830389,0.880646,0.711831,0.842951,0.887842,0.839189,0.919782,0.842602,0.845928,0.898582,0.860739,0.852732,0.945227,0.84762,
2340,8721,7883,4914,0.859137,0.751789,0.868619,0.912921,0.893277,0.860134,0.795813,0.945012,0.777342,0.903338,0.904892,0.830518,0.88074,0.711763,0.842839,0.887874,0.83939,0.91978,0.842441,0.846036,0.898581,0.860773,0.8527,0.945233,0.84748,
2340,8721,9929,4914,0.859136,0.751803,0.868813,0.912995,0.893233,0.859647,0.796022,0.944784,0.777395,0.903559,0.904918,0.830649,0.880874,0.711627,0.84259,0.887874,0.839696,0.91977,0.842264,0.846069,0.89866,0.860859,0.852621,0.945276,0.847276,
2340,8721,7375,4914,0.859136,0.751691,0.868494,0.912643,0.893232,0.86003,0.796014,0.94501,0.777767,0.903326,0.905092,0.830481,0.880712,0.711874,0.84275,0.887886,0.839308,0.919756,0.842507,0.845811,0.89863,0.860849,0.852666,0.945172,0.847556,
2340,8721,11979,4914,0.859135,0.751771,0.868594,0.912864,0.89327,0.860104,0.795846,0.944999,0.777463,0.903322,0.904925,0.830512,0.880743,0.711753,0.842793,0.887887,0.83936,0.919781,0.842469,0.845994,0.898579,0.860795,0.8527,0.945222,0.847502,
2340,8721,11499,4914,0.859135,0.751714,0.868554,0.912712,0.893274,0.860268,0.795882,0.945029,0.777569,0.903248,0.904988,0.830454,0.880692,0.711788,0.842796,0.887895,0.83927,0.919814,0.842564,0.845849,0.898593,0.860825,0.852684,0.9452,0.847574,
2340,8721,13773,4914,0.859135,0.751706,0.868542,0.912736,0.893279,0.860282,0.795921,0.945026,0.77754,0.903253,0.904958,0.830427,0.88067,0.711852,0.842823,0.887888,0.839294,0.919832,0.842532,0.845795,0.898569,0.860808,0.852704,0.94519,0.847605,
2340,8721,15566,4914,0.859133,0.75168,0.868487,0.912666,0.893242,0.860033,0.795999,0.944994,0.777755,0.903295,0.905044,0.830469,0.880692,0.711836,0.84278,0.887979,0.839355,0.919801,0.84248,0.84583,0.89854,0.860853,0.852676,0.945181,0.84753,
2340,8721,10187,4914,0.859133,0.751849,0.868666,0.912979,0.893306,0.860347,0.795728,0.945021,0.777127,0.903301,0.904796,0.830457,0.88071,0.711759,0.84287,0.887788,0.839347,0.919793,0.842511,0.845997,0.898591,0.860736,0.852735,0.94524,0.847534,
2340,8721,7385,4914,0.859132,0.751842,0.868748,0.91288,0.893238,0.859769,0.795996,0.94484,0.777489,0.903444,0.904908,0.830609,0.880826,0.711762,0.842681,0.887823,0.839588,0.919717,0.842336,0.845972,0.898619,0.86081,0.852665,0.945215,0.847397,
2340,8721,6091,4914,0.859132,0.751857,0.868685,0.913041,0.893312,0.860379,0.795697,0.945029,0.776996,0.90331,0.904774,0.830474,0.880708,0.711752,0.842913,0.887781,0.839354,0.919792,0.84248,0.846044,0.898591,0.86071,0.852728,0.945251,0.847511,
2340,8721,13803,4914,0.859132,0.751681,0.868475,0.912887,0.893367,0.860874,0.79558,0.945231,0.777062,0.903132,0.904829,0.83029,0.880556,0.711805,0.843045,0.887849,0.839056,0.919893,0.842699,0.845852,0.898555,0.86072,0.852766,0.945238,0.847719,
2340,8721,13534,4914,0.859131,0.751798,0.868623,0.91292,0.893273,0.860172,0.795867,0.945026,0.777289,0.90334,0.904886,0.830464,0.880695,0.711824,0.84284,0.88777,0.839426,0.919745,0.842461,0.845906,0.898639,0.860749,0.8527,0.94522,0.847514,
2340,8721,13775,4914,0.859131,0.751659,0.868395,0.912759,0.893306,0.860621,0.795732,0.945197,0.777383,0.903189,0.904975,0.830317,0.880573,0.71189,0.842954,0.887855,0.839076,0.919832,0.842654,0.845781,0.898597,0.860757,0.852734,0.945193,0.847715,
2340,8721,14031,4914,0.859131,0.751711,0.868467,0.912901,0.893289,0.860482,0.795712,0.945178,0.77728,0.903223,0.904896,0.830399,0.880611,0.711829,0.842936,0.887838,0.839191,0.919783,0.842575,0.845924,0.898602,0.860746,0.852732,0.945209,0.847627,
2340,8721,3275,4914,0.85913,0.751694,0.868699,0.912771,0.893175,0.859509,0.79613,0.944778,0.777673,0.903612,0.905115,0.830635,0.880863,0.711732,0.84251,0.887872,0.839614,0.919723,0.842304,0.84593,0.898712,0.860916,0.852596,0.945258,0.847312,
2340,8721,7373,4914,0.85913,0.751719,0.868609,0.912612,0.893197,0.859649,0.796179,0.944837,0.777908,0.9034,0.905089,0.830602,0.880794,0.71181,0.842601,0.887926,0.839518,0.919737,0.842361,0.845822,0.898612,0.860902,0.852632,0.945167,0.84744,
2340,8721,13533,4914,0.859129,0.751752,0.868596,0.912865,0.893269,0.860143,0.795912,0.945022,0.777413,0.903322,0.904909,0.830476,0.880694,0.711833,0.8428,0.887791,0.839391,0.919759,0.84247,0.845864,0.898643,0.860768,0.852692,0.945192,0.847529,
2340,8721,5582,4914,0.859129,0.751821,0.868715,0.912791,0.893256,0.859965,0.795991,0.944857,0.777444,0.90337,0.904939,0.830548,0.880755,0.711833,0.842725,0.88782,0.8395,0.919758,0.842383,0.845852,0.898628,0.860814,0.852673,0.945211,0.847454,
2340,8721,15595,4914,0.859129,0.751637,0.868403,0.91276,0.893316,0.860616,0.795705,0.9452,0.777404,0.903144,0.904945,0.830337,0.880595,0.711793,0.842968,0.887941,0.839064,0.919867,0.842657,0.845852,0.898526,0.860776,0.852721,0.945207,0.847662,
2340,8721,708,4914,0.859128,0.749553,0.868221,0.913607,0.892876,0.861119,0.795925,0.945951,0.777257,0.904864,0.906585,0.83047,0.880716,0.709402,0.842299,0.888318,0.839179,0.920748,0.841367,0.846222,0.899655,0.860735,0.851413,0.94598,0.846618,
2340,8721,5834,4914,0.859128,0.751844,0.868867,0.913104,0.893243,0.859694,0.795939,0.944792,0.777156,0.903569,0.904847,0.830646,0.880877,0.711601,0.842662,0.887822,0.839734,0.919755,0.842199,0.846149,0.898641,0.860798,0.852607,0.945299,0.847222,
2340,8721,7387,4914,0.859128,0.75181,0.868619,0.912893,0.893254,0.860105,0.795845,0.944996,0.777329,0.903377,0.904916,0.830493,0.880728,0.711818,0.842814,0.887777,0.839377,0.919708,0.842446,0.845953,0.898645,0.860751,0.852702,0.945215,0.847497,
2340,8721,13561,4914,0.859128,0.751805,0.86868,0.912987,0.893315,0.86036,0.795756,0.945035,0.777111,0.903254,0.904773,0.830448,0.880682,0.71175,0.842884,0.887779,0.83938,0.919808,0.842504,0.84594,0.898592,0.860732,0.852708,0.945228,0.847552,
2340,8721,15577,4914,0.859128,0.751754,0.868594,0.912867,0.89327,0.860096,0.795887,0.944986,0.777425,0.903323,0.904903,0.830474,0.880736,0.71178,0.842809,0.887875,0.839393,0.91977,0.842452,0.845922,0.898555,0.860775,0.852701,0.945209,0.847504,
2340,8721,5833,4914,0.859128,0.751817,0.868826,0.913042,0.893233,0.859663,0.795997,0.94478,0.777261,0.903559,0.904872,0.830656,0.880868,0.711616,0.842614,0.887847,0.839711,0.919759,0.842221,0.84611,0.898648,0.860836,0.852601,0.945275,0.847248,
2340,8721,5338,4914,0.859127,0.751846,0.868882,0.913104,0.893227,0.859696,0.795951,0.944814,0.777123,0.903597,0.904874,0.830632,0.880868,0.711661,0.842656,0.887736,0.839737,0.91971,0.842212,0.846057,0.89872,0.860779,0.852613,0.945301,0.847262,
2340,8721,5339,4914,0.859127,0.751776,0.868713,0.913081,0.893246,0.86,0.795841,0.944951,0.777083,0.903547,0.904904,0.830529,0.880776,0.711732,0.842735,0.887723,0.839497,0.919713,0.842363,0.846012,0.898741,0.860765,0.852652,0.945296,0.847378,
2340,8721,7627,4914,0.859127,0.751736,0.868556,0.912763,0.89327,0.860224,0.795837,0.945023,0.777441,0.903291,0.904966,0.830454,0.880691,0.711836,0.84283,0.887886,0.839261,0.919786,0.842505,0.845861,0.89857,0.860783,0.852707,0.945202,0.847567,
2340,8721,11470,4914,0.859126,0.751723,0.86861,0.912618,0.893191,0.859645,0.796161,0.944833,0.777909,0.903406,0.905092,0.830577,0.880782,0.711794,0.842599,0.887913,0.839526,0.91974,0.842365,0.845806,0.898604,0.8609,0.852624,0.945185,0.847426,
2340,8721,9434,4914,0.859126,0.751819,0.868846,0.913048,0.893223,0.859666,0.795984,0.944804,0.777242,0.903606,0.9049,0.830619,0.880864,0.711667,0.842613,0.88775,0.839728,0.919713,0.842241,0.846009,0.898706,0.860797,0.85262,0.945285,0.84728,
2340,8721,7402,4914,0.859126,0.751785,0.868715,0.912794,0.893263,0.859948,0.795961,0.944842,0.777462,0.903337,0.904906,0.830548,0.880782,0.711728,0.842733,0.887902,0.839502,0.919805,0.842392,0.845934,0.898562,0.860828,0.852661,0.945211,0.847424,
2340,8721,9934,4914,0.859126,0.75186,0.868763,0.912879,0.893241,0.859784,0.796008,0.944819,0.777472,0.903403,0.904877,0.830605,0.880791,0.711727,0.842667,0.887795,0.839599,0.91972,0.842336,0.845973,0.898623,0.860823,0.852664,0.945205,0.847382,
